#GPU,GPU type,Calc type,Topology,Time,Performance
1,A100,HF Energy, 1, 0.14004, 0.000844
1,A100,HF Energy, 2, 0.322969, 0.002186
1,A100,HF Energy, 3, 0.455156, 0.004501
1,A100,HF Energy, 4, 0.731588, 0.006136
1,A100,HF Energy, 5, 1.084653, 0.007703
1,A100,HF Energy, 6, 1.447987, 0.009651
1,A100,HF Energy, 7, 1.9524, 0.0111
1,A100,HF Energy, 8, 2.502264, 0.0127
1,A100,HF Energy, 9, 3.080658, 0.01449
1,A100,HF Energy, 10, 3.68401, 0.016440000000000003
1,A100,HF Energy, 11, 4.404757, 0.01813
1,A100,HF Energy, 12, 5.205124, 0.01977
1,A100,HF Energy, 13, 6.085651, 0.02136
1,A100,HF Energy, 14, 6.970358, 0.02316
1,A100,HF Energy, 15, 7.94073, 0.02488
1,A100,HF Gradient, 1, 0.210608, 0.000565
1,A100,HF Gradient, 2, 0.424399, 0.001674
1,A100,HF Gradient, 3, 0.738696, 0.00279
1,A100,HF Gradient, 4, 1.210353, 0.003731
1,A100,HF Gradient, 5, 1.769273, 0.004751
1,A100,HF Gradient, 6, 2.410491, 0.005833
1,A100,HF Gradient, 7, 3.284365, 0.00664
1,A100,HF Gradient, 8, 4.164462, 0.00768
1,A100,HF Gradient, 9, 5.095309, 0.008814
1,A100,HF Gradient, 10, 6.074105, 0.01003
1,A100,HF Gradient, 11, 7.213402, 0.01114
1,A100,HF Gradient, 12, 8.539126, 0.01212
1,A100,HF Gradient, 13, 9.935172, 0.01316
1,A100,HF Gradient, 14, 11.307157, 0.01437
1,A100,HF Gradient, 15, 12.780797, 0.01556
1,A100,RIHF Energy, 1, 0.032824, 0.2259
1,A100,RIHF Energy, 2, 0.061029, 1.188
1,A100,RIHF Energy, 3, 0.109987, 2.74
1,A100,RIHF Energy, 4, 0.181374, 4.741
1,A100,RIHF Energy, 5, 0.300379, 6.564
1,A100,RIHF Energy, 6, 0.46181, 8.486
1,A100,RIHF Energy, 7, 0.692721, 10.17
1,A100,RIHF Energy, 8, 1.024452, 11.46
1,A100,RIHF Energy, 9, 1.518688, 12.16
1,A100,RIHF Energy, 10, 2.222729, 12.48
1,A100,RIHF Energy, 11, 3.038208, 13.21
1,A100,RIHF Gradient, 1, 0.089949, 0.08992
1,A100,RIHF Gradient, 2, 0.093055, 0.8467
1,A100,RIHF Gradient, 3, 0.143874, 2.276
1,A100,RIHF Gradient, 4, 0.233067, 4.009
1,A100,RIHF Gradient, 5, 0.381528, 5.616
1,A100,RIHF Gradient, 6, 0.563117, 7.564
1,A100,RIHF Gradient, 7, 0.852083, 8.982
1,A100,RIHF Gradient, 8, 1.244927, 10.25
1,A100,RIHF Gradient, 9, 1.825334, 11.0
1,A100,RIHF Gradient, 10, 2.649597, 11.38
1,A100,RIHF Gradient, 11, 3.557402, 12.26
1,A100,RIHF + RIMP2 Energy, 1, 0.037697, 0.2863
1,A100,RIHF + RIMP2 Energy, 2, 0.075331, 1.582
1,A100,RIHF + RIMP2 Energy, 3, 0.138488, 4.027
1,A100,RIHF + RIMP2 Energy, 4, 0.282638, 6.257
1,A100,RIHF + RIMP2 Energy, 5, 0.533658, 8.362
1,A100,RIHF + RIMP2 Energy, 6, 0.926871, 10.44
1,A100,RIHF + RIMP2 Energy, 7, 1.593729, 11.82
1,A100,RIHF + RIMP2 Energy, 8, 2.512381, 12.72
1,A100,RIHF + RIMP2 Energy, 9, 3.736496, 13.22
1,A100,RIHF + RIMP2 Energy, 10, 5.497364, 13.96
1,A100,RIHF + RIMP2 Energy, 11, 7.673503, 14.51
1,A100,RIHF + RIMP2 Gradient, 1, 0.106235, 0.2504
1,A100,RIHF + RIMP2 Gradient, 2, 0.142436, 2.071
1,A100,RIHF + RIMP2 Gradient, 3, 0.279517, 5.0
1,A100,RIHF + RIMP2 Gradient, 4, 0.643826, 6.983
1,A100,RIHF + RIMP2 Gradient, 5, 1.277476, 8.944
1,A100,RIHF + RIMP2 Gradient, 6, 2.341019, 10.65
1,A100,RIHF + RIMP2 Gradient, 7, 4.107252, 11.88
1,A100,RIHF + RIMP2 Gradient, 8, 6.89925, 12.75
1,A100,RIHF + RIMP2 Gradient, 9, 10.872606, 13.36
